,dist_code,month,sector,investment in cr,number_of_employees,district,Mmm,quarter,fiscal_year
0,14_1,01-04-2019,Engineering,2.32,15,Mahabubnagar,Apr,Q1,2019
1,14_1,01-04-2019,Paper and Printing,14.4,305,Mahabubnagar,Apr,Q1,2019
2,19_1,01-04-2019,Engineering,0.625,13,Adilabad,Apr,Q1,2019
3,19_1,01-04-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",19.3702,99,Adilabad,Apr,Q1,2019
4,19_1,01-04-2019,Food Processing,0.098,7,Adilabad,Apr,Q1,2019
5,20_3,01-04-2019,Wood and Leather,0.2,8,Rajanna Sircilla,Apr,Q1,2019
6,20_3,01-04-2019,Textiles,0.2675,27,Rajanna Sircilla,Apr,Q1,2019
7,20_3,01-04-2019,Plastic and Rubber,0.15,4,Rajanna Sircilla,Apr,Q1,2019
8,20_3,01-04-2019,Paper and Printing,0.2,10,Rajanna Sircilla,Apr,Q1,2019
9,20_3,01-04-2019,Food Processing,2.02,12,Rajanna Sircilla,Apr,Q1,2019
10,20_3,01-04-2019,Engineering,0.155,6,Rajanna Sircilla,Apr,Q1,2019
11,20_3,01-04-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.62,28,Rajanna Sircilla,Apr,Q1,2019
12,20_3,01-04-2019,Agro based incl Cold Storages,0.56,24,Rajanna Sircilla,Apr,Q1,2019
13,21_5,01-04-2019,Electrical and Electronic Products,0.12,5,Mahabubabad,Apr,Q1,2019
14,19_2,01-04-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.03,3,Nirmal,Apr,Q1,2019
15,19_2,01-04-2019,Engineering,0.03,0,Nirmal,Apr,Q1,2019
16,23_1,01-04-2019,Plastic and Rubber,1.2916,19,Nalgonda,Apr,Q1,2019
17,23_1,01-04-2019,Pharmaceuticals and Chemicals,3.0,20,Nalgonda,Apr,Q1,2019
18,23_1,01-04-2019,Granite and Stone Crushing,0.82,30,Nalgonda,Apr,Q1,2019
19,23_1,01-04-2019,Food Processing,1.25,20,Nalgonda,Apr,Q1,2019
20,23_1,01-04-2019,Agro based incl Cold Storages,0.2,10,Nalgonda,Apr,Q1,2019
21,15_3,01-04-2019,Agro based incl Cold Storages,0.1952,5,Vikarabad,Apr,Q1,2019
22,15_3,01-04-2019,Food Processing,0.056,5,Vikarabad,Apr,Q1,2019
23,15_3,01-04-2019,Plastic and Rubber,0.105,6,Vikarabad,Apr,Q1,2019
24,15_3,01-04-2019,Wood and Leather,0.145,4,Vikarabad,Apr,Q1,2019
25,14_3,01-04-2019,Food Processing,0.2346,10,Nagarkurnool,Apr,Q1,2019
26,23_2,01-04-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",1.95,25,Suryapet,Apr,Q1,2019
27,23_2,01-04-2019,Granite and Stone Crushing,6.0758,60,Suryapet,Apr,Q1,2019
28,23_2,01-04-2019,Textiles,0.8,6,Suryapet,Apr,Q1,2019
29,23_3,01-04-2019,Food Processing,6.1433,50,Yadadri Bhuvanagiri,Apr,Q1,2019
30,23_3,01-04-2019,Engineering,2.7,20,Yadadri Bhuvanagiri,Apr,Q1,2019
31,23_3,01-04-2019,Pharmaceuticals and Chemicals,0.0,75,Yadadri Bhuvanagiri,Apr,Q1,2019
32,23_3,01-04-2019,Plastic and Rubber,0.23,5,Yadadri Bhuvanagiri,Apr,Q1,2019
33,20_4,01-04-2019,Engineering,0.08,3,Peddapalli,Apr,Q1,2019
34,20_4,01-04-2019,Agro based incl Cold Storages,1.014,8,Peddapalli,Apr,Q1,2019
35,15_2,01-04-2019,Wood and Leather,1.5304,7,Medchal_Malkajgiri,Apr,Q1,2019
36,15_2,01-04-2019,"Real Estate,Industrial Parks and IT Buildings",531.0,70,Medchal_Malkajgiri,Apr,Q1,2019
37,15_2,01-04-2019,R&D,93.0,50,Medchal_Malkajgiri,Apr,Q1,2019
38,15_2,01-04-2019,Plastic and Rubber,5.5373,75,Medchal_Malkajgiri,Apr,Q1,2019
39,15_2,01-04-2019,Pharmaceuticals and Chemicals,9.05,503,Medchal_Malkajgiri,Apr,Q1,2019
40,15_2,01-04-2019,Paper and Printing,6.1237,462,Medchal_Malkajgiri,Apr,Q1,2019
41,15_2,01-04-2019,Food Processing,0.4225,265,Medchal_Malkajgiri,Apr,Q1,2019
42,15_2,01-04-2019,"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",0.05,5,Medchal_Malkajgiri,Apr,Q1,2019
43,15_2,01-04-2019,Engineering,36.6737,1159,Medchal_Malkajgiri,Apr,Q1,2019
44,15_2,01-04-2019,Electrical and Electronic Products,14.95,39,Medchal_Malkajgiri,Apr,Q1,2019
45,15_2,01-04-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.64,4,Medchal_Malkajgiri,Apr,Q1,2019
46,15_2,01-04-2019,Granite and Stone Crushing,0.0,5,Medchal_Malkajgiri,Apr,Q1,2019
47,21_3,01-04-2019,Engineering,0.05,3,Jangoan,Apr,Q1,2019
48,18_2,01-04-2019,Food Processing,8.9646,73,Kamareddy,Apr,Q1,2019
49,14_2,01-04-2019,Agro based incl Cold Storages,1.6982,9,Jogulamba Gadwal,Apr,Q1,2019
50,19_3,01-04-2019,Beverages,0.06,3,Mancherial,Apr,Q1,2019
51,19_3,01-04-2019,Food Processing,0.05,2,Mancherial,Apr,Q1,2019
52,15_1,01-04-2019,Plastic and Rubber,3.59,32,Rangareddy,Apr,Q1,2019
53,15_1,01-04-2019,"Real Estate,Industrial Parks and IT Buildings",291.7016,14048,Rangareddy,Apr,Q1,2019
54,15_1,01-04-2019,Pharmaceuticals and Chemicals,0.9975,7,Rangareddy,Apr,Q1,2019
55,15_1,01-04-2019,Granite and Stone Crushing,2.53,20,Rangareddy,Apr,Q1,2019
56,15_1,01-04-2019,Food Processing,0.5456,489,Rangareddy,Apr,Q1,2019
57,15_1,01-04-2019,Engineering,13.4535,149,Rangareddy,Apr,Q1,2019
58,15_1,01-04-2019,Agro based incl Cold Storages,0.55,5,Rangareddy,Apr,Q1,2019
59,15_1,01-04-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",3.8025,41,Rangareddy,Apr,Q1,2019
60,19_4,01-04-2019,Agro based incl Cold Storages,0.05,5,Kumurambheem Asifabad,Apr,Q1,2019
61,19_4,01-04-2019,Food Processing,1.2124,23,Kumurambheem Asifabad,Apr,Q1,2019
62,22_1,01-04-2019,Agro based incl Cold Storages,0.57,17,Khammam,Apr,Q1,2019
63,22_1,01-04-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",3.0,25,Khammam,Apr,Q1,2019
64,22_1,01-04-2019,Food Processing,0.2,4,Khammam,Apr,Q1,2019
65,22_1,01-04-2019,Granite and Stone Crushing,4.46,32,Khammam,Apr,Q1,2019
66,22_1,01-04-2019,Paper and Printing,0.4,12,Khammam,Apr,Q1,2019
67,20_1,01-04-2019,Agro based incl Cold Storages,1.475,53,Karimnagar,Apr,Q1,2019
68,20_1,01-04-2019,Beverages,0.17,4,Karimnagar,Apr,Q1,2019
69,20_1,01-04-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",2.24,26,Karimnagar,Apr,Q1,2019
70,20_1,01-04-2019,Engineering,0.07,4,Karimnagar,Apr,Q1,2019
71,20_1,01-04-2019,Food Processing,0.6645,20,Karimnagar,Apr,Q1,2019
72,20_1,01-04-2019,Granite and Stone Crushing,4.7,45,Karimnagar,Apr,Q1,2019
73,20_1,01-04-2019,Textiles,0.3,6,Karimnagar,Apr,Q1,2019
74,17_1,01-04-2019,Agro based incl Cold Storages,59.5,800,Medak,Apr,Q1,2019
75,17_1,01-04-2019,Engineering,1.369,10,Medak,Apr,Q1,2019
76,17_1,01-04-2019,Solar and Other Renewable Energy,318.25,20,Medak,Apr,Q1,2019
77,17_2,01-04-2019,Wood and Leather,0.0,12,Sangareddy,Apr,Q1,2019
78,17_2,01-04-2019,Solar and Other Renewable Energy,27.5,75,Sangareddy,Apr,Q1,2019
79,17_2,01-04-2019,Plastic and Rubber,33.6,0,Sangareddy,Apr,Q1,2019
80,17_2,01-04-2019,Pharmaceuticals and Chemicals,9.3749,174,Sangareddy,Apr,Q1,2019
81,17_2,01-04-2019,Granite and Stone Crushing,4.35,41,Sangareddy,Apr,Q1,2019
82,17_2,01-04-2019,Food Processing,18.0,250,Sangareddy,Apr,Q1,2019
83,17_2,01-04-2019,Engineering,3.416,190,Sangareddy,Apr,Q1,2019
84,17_2,01-04-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",8.3,60,Sangareddy,Apr,Q1,2019
85,14_4,01-04-2019,Granite and Stone Crushing,1.51,50,Wanaparthy,Apr,Q1,2019
86,22_2,01-04-2019,Paper and Printing,0.2,6,Bhadradri Kothagudem,Apr,Q1,2019
87,22_2,01-04-2019,Beverages,0.06,3,Bhadradri Kothagudem,Apr,Q1,2019
88,22_2,01-04-2019,Agro based incl Cold Storages,0.165,4,Bhadradri Kothagudem,Apr,Q1,2019
89,22_2,01-04-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.25,6,Bhadradri Kothagudem,Apr,Q1,2019
90,14_5,01-04-2019,Food Processing,0.92,20,Narayanpet,Apr,Q1,2019
91,20_2,01-04-2019,Engineering,0.2,2,Jagtial,Apr,Q1,2019
92,20_2,01-04-2019,Beverages,0.051,2,Jagtial,Apr,Q1,2019
93,20_2,01-04-2019,Agro based incl Cold Storages,0.17,6,Jagtial,Apr,Q1,2019
94,21_6,01-04-2019,Food Processing,2.0,25,Mulugu,Apr,Q1,2019
95,21_2,01-04-2019,Textiles,1.4239,16,Warangal,Apr,Q1,2019
96,21_2,01-04-2019,Food Processing,0.02,2,Warangal,Apr,Q1,2019
97,21_2,01-04-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.6,16,Warangal,Apr,Q1,2019
98,21_2,01-04-2019,Agro based incl Cold Storages,0.1,0,Warangal,Apr,Q1,2019
99,21_2,01-04-2019,Engineering,0.22,0,Warangal,Apr,Q1,2019
100,21_2,01-04-2019,Granite and Stone Crushing,0.6,10,Warangal,Apr,Q1,2019
101,18_1,01-04-2019,Pharmaceuticals and Chemicals,0.3,8,Nizamabad,Apr,Q1,2019
102,18_1,01-04-2019,Agro based incl Cold Storages,0.2,12,Nizamabad,Apr,Q1,2019
103,18_1,01-04-2019,Engineering,0.06,4,Nizamabad,Apr,Q1,2019
104,17_3,01-04-2019,Food Processing,3.29,30,Siddipet,Apr,Q1,2019
105,14_1,01-05-2019,Pharmaceuticals and Chemicals,66.9,190,Mahabubnagar,May,Q1,2019
106,14_1,01-05-2019,Granite and Stone Crushing,0.0,1000,Mahabubnagar,May,Q1,2019
107,14_1,01-05-2019,Food Processing,3.78,90,Mahabubnagar,May,Q1,2019
108,14_1,01-05-2019,Electrical and Electronic Products,10.67,30,Mahabubnagar,May,Q1,2019
109,20_3,01-05-2019,Textiles,0.46,23,Rajanna Sircilla,May,Q1,2019
110,20_3,01-05-2019,Granite and Stone Crushing,1.25,46,Rajanna Sircilla,May,Q1,2019
111,20_3,01-05-2019,Food Processing,0.14,5,Rajanna Sircilla,May,Q1,2019
112,20_3,01-05-2019,Agro based incl Cold Storages,0.44,18,Rajanna Sircilla,May,Q1,2019
113,20_3,01-05-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.21,8,Rajanna Sircilla,May,Q1,2019
114,21_5,01-05-2019,Agro based incl Cold Storages,0.275,9,Mahabubabad,May,Q1,2019
115,21_5,01-05-2019,Engineering,0.035,5,Mahabubabad,May,Q1,2019
116,21_5,01-05-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.05,15,Mahabubabad,May,Q1,2019
117,21_5,01-05-2019,Textiles,0.11,5,Mahabubabad,May,Q1,2019
118,21_5,01-05-2019,Pharmaceuticals and Chemicals,0.0275,5,Mahabubabad,May,Q1,2019
119,21_5,01-05-2019,Granite and Stone Crushing,0.52,15,Mahabubabad,May,Q1,2019
120,19_2,01-05-2019,Agro based incl Cold Storages,0.24,20,Nirmal,May,Q1,2019
121,19_2,01-05-2019,Food Processing,0.0,2,Nirmal,May,Q1,2019
122,19_2,01-05-2019,Textiles,0.17,10,Nirmal,May,Q1,2019
123,23_1,01-05-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.835,20,Nalgonda,May,Q1,2019
124,23_1,01-05-2019,Food Processing,0.772,10,Nalgonda,May,Q1,2019
125,15_3,01-05-2019,Others,2.0646,12,Vikarabad,May,Q1,2019
126,15_3,01-05-2019,Granite and Stone Crushing,3.2832,29,Vikarabad,May,Q1,2019
127,15_3,01-05-2019,Food Processing,0.015,2,Vikarabad,May,Q1,2019
128,15_3,01-05-2019,Pharmaceuticals and Chemicals,0.145,6,Vikarabad,May,Q1,2019
129,15_3,01-05-2019,Solar and Other Renewable Energy,0.056,1,Vikarabad,May,Q1,2019
130,14_3,01-05-2019,Food Processing,0.63,8,Nagarkurnool,May,Q1,2019
131,23_2,01-05-2019,Pharmaceuticals and Chemicals,15.5,0,Suryapet,May,Q1,2019
132,23_3,01-05-2019,Engineering,1.864,15,Yadadri Bhuvanagiri,May,Q1,2019
133,23_3,01-05-2019,"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",1.11,5,Yadadri Bhuvanagiri,May,Q1,2019
134,23_3,01-05-2019,Textiles,0.44,22,Yadadri Bhuvanagiri,May,Q1,2019
135,20_4,01-05-2019,Granite and Stone Crushing,0.9284,18,Peddapalli,May,Q1,2019
136,20_4,01-05-2019,Agro based incl Cold Storages,0.6925,19,Peddapalli,May,Q1,2019
137,20_4,01-05-2019,Beverages,0.1987,4,Peddapalli,May,Q1,2019
138,20_4,01-05-2019,Engineering,0.055,2,Peddapalli,May,Q1,2019
139,15_2,01-05-2019,Plastic and Rubber,4.822,46,Medchal_Malkajgiri,May,Q1,2019
140,15_2,01-05-2019,Pharmaceuticals and Chemicals,14.3966,176,Medchal_Malkajgiri,May,Q1,2019
141,15_2,01-05-2019,Food Processing,6.7715,337,Medchal_Malkajgiri,May,Q1,2019
142,15_2,01-05-2019,Others,1.0,100,Medchal_Malkajgiri,May,Q1,2019
143,15_2,01-05-2019,Engineering,63.6156,843,Medchal_Malkajgiri,May,Q1,2019
144,15_2,01-05-2019,Electrical and Electronic Products,6.5559,67,Medchal_Malkajgiri,May,Q1,2019
145,15_2,01-05-2019,Agro based incl Cold Storages,0.24,12,Medchal_Malkajgiri,May,Q1,2019
146,15_2,01-05-2019,Paper and Printing,4.68,24,Medchal_Malkajgiri,May,Q1,2019
147,15_2,01-05-2019,R&D,0.352,10,Medchal_Malkajgiri,May,Q1,2019
148,15_2,01-05-2019,"Real Estate,Industrial Parks and IT Buildings",55.5,300,Medchal_Malkajgiri,May,Q1,2019
149,15_2,01-05-2019,Textiles,0.15,8,Medchal_Malkajgiri,May,Q1,2019
150,15_2,01-05-2019,Wood and Leather,2.188,52,Medchal_Malkajgiri,May,Q1,2019
151,21_3,01-05-2019,Agro based incl Cold Storages,0.47,10,Jangoan,May,Q1,2019
152,21_3,01-05-2019,Beverages,0.07,2,Jangoan,May,Q1,2019
153,21_3,01-05-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.12,12,Jangoan,May,Q1,2019
154,21_3,01-05-2019,Food Processing,0.755,50,Jangoan,May,Q1,2019
155,21_3,01-05-2019,Granite and Stone Crushing,1.0208,10,Jangoan,May,Q1,2019
156,18_2,01-05-2019,Food Processing,5.33,43,Kamareddy,May,Q1,2019
157,18_2,01-05-2019,Agro based incl Cold Storages,0.2,5,Kamareddy,May,Q1,2019
158,19_3,01-05-2019,Food Processing,0.7104,17,Mancherial,May,Q1,2019
